empresa,grupo_corporativo,sector,subsector,estado,ciudad,cargo_contacto,dolor_principal,viajes_mes_estimados,modo_transporte,puertos_frontera,certificacion_actual,meta_sostenibilidad,relevancia_clcircular,razon_relevancia,fuente_dato,linkedin_empresa,sitio_web
Nemak S.A.B. de C.V.,Alfa S.A.B. (BMV: NEMAKA),Autopartes,Fundición aluminio / Tier 1,Nuevo León,García,VP Supply Chain & Logistics / Director de Logística,Componentes aluminio de alto valor; exporta a 38 plantas en 15 países; riesgo de golpes y vibración en tránsito; trazabilidad lote-a-lote requerida por OEMs,300+,Terrestre + Marítimo,"Laredo TX, El Paso TX, Veracruz","IATF 16949, ISO 14001, ISO 27001",Net Zero 2050 (Nemak Sustainability Report),Alta,Componentes de alto valor requieren monitoreo golpes y temperatura en fundición; clientes OEM exigen trazabilidad total; volumen masivo internacional,nemak.com/about; BMV Nemak RA 2024; investors.nemak.com,linkedin.com/company/nemak,nemak.com
Metalsa S.A. de C.V.,Proeza Group (privado),Autopartes,Estructuras metálicas / Tier 1,Nuevo León,Monterrey,Director de Supply Chain Global,"Estructuras chasis y carrocería; sensibles a golpes en tránsito; exportación a 14 países; cumplimiento IATF y trazabilidad OEM (GM, Ford, FCA)",200+,Terrestre + Marítimo,"Laredo TX, Veracruz","IATF 16949, ISO 14001",Metalsa Sustainability Program,Alta,Tier 1 global con clientes OEM que requieren trazabilidad total; estructuras sensibles a golpes,metalsa.com; INA directorio 2024,linkedin.com/company/metalsa,metalsa.com
Grupo Industrial Saltillo (GIS) — Draxton,GIS (BMV: GISSAA),Autopartes,Fundición hierro/aluminio / Tier 1,Coahuila,Saltillo,Director de Logística Internacional,"Fundición de alta temperatura; piezas sensibles a golpes post-fundición; exportación a EE.UU., Europa; trazabilidad requerida por GM, BMW, Stellantis",250+,Terrestre + Marítimo,"Laredo TX, Veracruz","IATF 16949, ISO 14001, EMAS",GIS Net Zero 2050,Alta,Cotiza en BMV; mandato de sostenibilidad activo; alto volumen exportación; piezas fundición sensibles a condiciones de tránsito,gis.com.mx; BMV GIS RA 2024,linkedin.com/company/gis-grupo-industrial-saltillo,gis.com.mx
Rassini S.A. de C.V.,Corporación Mabe / Grupo Desc (privado),Autopartes,Frenos y suspensión / Tier 1,Ciudad de México,Ciudad de México,Gerente de Logística de Exportación,"Componentes de frenos sensibles a humedad y temperatura; exportación masiva a EE.UU. (Ford, GM, Chrysler); riesgo contaminación en zona CDMX-Laredo",100+,Terrestre,"Laredo TX, El Paso TX","IATF 16949, ISO 14001",Reducción emisiones Scope 1+2,Alta,Componentes críticos de seguridad; OEMs exigen trazabilidad total; alta exposición ruta CDMX-frontera,rassini.com; INA directorio Tier 1 2024,linkedin.com/company/rassini,rassini.com
Vitro Automotriz S.A. de C.V.,Vitro S.A.B. (BMV: VITROA),Autopartes,Vidrio automotriz / Tier 1,Nuevo León,Monterrey,Director de Supply Chain Automotriz,Vidrio parabrisas extremadamente frágil; golpes y vibración críticos en tránsito; exportación a OEMs en EE.UU.; requiere temperatura controlada para adhesivos,150+,Terrestre,"Laredo TX, El Paso TX","IATF 16949, ISO 14001",Vitro Net Zero plan,Alta,Producto extremadamente frágil; sensor golpes = caso de uso perfecto; cotiza BMV con mandato sostenibilidad,vitro.com; BMV Vitro RA 2024,linkedin.com/company/vitro,vitro.com
KUO Automotriz S.A. de C.V.,KUO S.A.B. (BMV: KUOB),Autopartes,Transmisiones / drivetrain / Tier 1,Ciudad de México,Ciudad de México,VP Operaciones / Director Logística,Transmisiones de alto valor; golpes críticos en tránsito; exportación a EE.UU.; lubricantes internos sensibles a temperatura,100+,Terrestre,Laredo TX,"IATF 16949, ISO 14001",KUO Sustainability Report 2024,Alta,Cotiza BMV; piezas de alto valor unitario; trazabilidad OEM exigida,kuo.com.mx; BMV KUO RA 2024,linkedin.com/company/kuo,kuo.com.mx
Katcon S.A. de C.V.,Katcon Global (privado),Autopartes,Sistemas de escape / Tier 1,Nuevo León,García,Director de Logística Global,"Catalizadores y sistemas de escape; sensibles a golpes; exportación a Ford/GM; trazabilidad lote catalítico requerida (platino, paladio, rodio)",80+,Terrestre,Laredo TX,"IATF 16949, ISO 14001",Reducción huella carbono manufactura,Alta,Componentes con metales preciosos de alto valor; trazabilidad crítica; robo de carga es riesgo real,katcon.com; INA directorio Tier 1 2024,linkedin.com/company/katcon,katcon.com
Condumex / GRUPO CARSO Autopartes,Grupo Carso (BMV: GCARSOA1),Autopartes,Arneses eléctricos / Tier 1,Ciudad de México,Ciudad de México,Director de Operaciones / Supply Chain,Arneses de alto valor; humedad y temperatura críticos para conectores eléctricos; exportación EV (eléctricos) en crecimiento con mayor criticidad,150+,Terrestre,"Laredo TX, El Paso TX","IATF 16949, ISO 14001",Grupo Carso ESG 2024,Alta,Arneses EV de alto costo; humedad crítica; cotiza BMV con reporte ESG,carso.com.mx; BMV Carso RA 2024,linkedin.com/company/grupo-carso,carso.com.mx
Lear Corporation México S.A.,Lear Corporation (NYSE: LEA),Autopartes,Arneses + asientos / Tier 1,Chihuahua,Ciudad Juárez,Director de Logística México,"Arneses y asientos para Tesla, GM, Ford; zona Juárez de alto riesgo seguridad; temperatura crítica para materiales asientos; 22,000+ empleados en MX",300+,Terrestre,El Paso TX / Ciudad Juárez,"IATF 16949, ISO 14001, CDP A-",Lear Net Zero 2050 (CDP A-),Alta,Proveedor Tesla/GM; zona alto riesgo Juárez; CDP A- indica madurez en sostenibilidad; abiertos a tecnología de monitoreo,lear.com; Lear Annual Report 2024; CDP 2024,linkedin.com/company/lear-corporation,lear.com
Bosch México S.A. de C.V.,Robert Bosch GmbH (privado),Autopartes,Sistemas electrónicos / Tier 1,Estado de México,Toluca,Director de Supply Chain México,"Electrónica automotriz sensible a temperatura, humedad y estática; exportación a OEMs; múltiples plantas en MX (Juárez, Toluca, Aguascalientes)",200+,Terrestre + Aéreo (urgentes),"El Paso TX, Laredo TX","IATF 16949, ISO 14001, ISO 27001, CDP",Bosch Climate Neutral 2040,Alta,Electrónica ultra-sensible; proveedor global que ya usa tecnología IoT en manufactura; apertura a soluciones logísticas digitales,bosch.com.mx; Bosch Annual Report 2024,linkedin.com/company/bosch,bosch.com.mx
